M9 刺刀（★） | 黑色层压板 (略有磨损)max,3605.80,M9 刺刀（★） | 黑色层压板 (略有磨损)igxe,2656.00,949.8000000000002
M9 刺刀（★） | 黑色层压板 (破损不堪)max,3749.50,M9 刺刀（★） | 黑色层压板 (破损不堪)buff,2409,1340.5
刺刀（★ StatTrak™）max,3809.71,刺刀（★ StatTrak™）buff,2460,1349.71
刺刀（★ StatTrak™） | 人工染色 (破损不堪)max,1919.04,刺刀（★ StatTrak™） | 人工染色 (破损不堪)buff,1150,769.04
刺刀（★ StatTrak™） | 传说 (久经沙场)max,3410.66,刺刀（★ StatTrak™） | 传说 (久经沙场)buff,2320,1090.6599999999999
刺刀（★ StatTrak™） | 传说 (略有磨损)max,6402.14,刺刀（★ StatTrak™） | 传说 (略有磨损)buff,3849,2553.1400000000003
刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)max,4728.62,刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)buff,3050,1678.62
刺刀（★ StatTrak™） | 多普勒 (崭新出厂)max,3331.79,刺刀（★ StatTrak™） | 多普勒 (崭新出厂)buff,2457.5,874.29
刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)max,2207.37,刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)buff,1275,932.3699999999999
刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)max,2269.11,刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)buff,1499,770.1100000000001
刺刀（★ StatTrak™） | 屠夫 (久经沙场)max,2325.91,刺刀（★ StatTrak™） | 屠夫 (久经沙场)buff,1978,347.90999999999985
刺刀（★ StatTrak™） | 深红之网 (略有磨损)max,9884.36,刺刀（★ StatTrak™） | 深红之网 (略有磨损)buff,2785,7099.360000000001
刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)max,1860.77,刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)buff,1150,710.77
刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)max,2894.08,刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)buff,1630,1264.08
