M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
刺刀（★） | 致命紫罗兰 (略有磨损)max 1832.07 刺刀（★） | 致命紫罗兰 (略有磨损)buff 1279.9 552.170
刺刀（★） | 致命紫罗兰 (破损不堪)igxe 926.00 刺刀（★） | 致命紫罗兰 (破损不堪)max 1250.99 -324.990
刺刀（★） | 蓝钢 (久经沙场)max 1657.27 刺刀（★） | 蓝钢 (久经沙场)igxe 1170.00 487.270
刺刀（★） | 蓝钢 (战痕累累)max 1546.88 刺刀（★） | 蓝钢 (战痕累累)buff 1099.5 447.380
刺刀（★） | 蓝钢 (略有磨损)max 1683.76 刺刀（★） | 蓝钢 (略有磨损)buff 1258.5 425.260
刺刀（★） | 蓝钢 (破损不堪)max 1611.71 刺刀（★） | 蓝钢 (破损不堪)buff 1110 501.710
刺刀（★） | 虎牙 (崭新出厂)max 3451.81 刺刀（★） | 虎牙 (崭新出厂)buff 2309.5 1142.310
刺刀（★） | 虎牙 (略有磨损)max 3455.08 刺刀（★） | 虎牙 (略有磨损)buff 2270 1185.080
刺刀（★） | 表面淬火 (久经沙场)max 2354.61 刺刀（★） | 表面淬火 (久经沙场)buff 1509.5 845.110
刺刀（★） | 表面淬火 (略有磨损)max 2588.22 刺刀（★） | 表面淬火 (略有磨损)buff 1739 849.220
刺刀（★） | 表面淬火 (破损不堪)max 2098.39 刺刀（★） | 表面淬火 (破损不堪)igxe 1339.50 758.890
刺刀（★） | 都市伪装 (久经沙场)igxe 864.90 刺刀（★） | 都市伪装 (久经沙场)max 1050.30 -185.400
刺刀（★） | 都市伪装 (战痕累累)igxe 836.82 刺刀（★） | 都市伪装 (战痕累累)max 1188.04 -351.220
刺刀（★） | 都市伪装 (略有磨损)buff 974.99 刺刀（★） | 都市伪装 (略有磨损)igxe 1048.00 -73.010
刺刀（★） | 都市伪装 (破损不堪)buff 820.8 刺刀（★） | 都市伪装 (破损不堪)max 1154.12 -333.320
刺刀（★） | 黑色层压板 (久经沙场)max 1983.73 刺刀（★） | 黑色层压板 (久经沙场)buff 1350 633.730
刺刀（★） | 黑色层压板 (战痕累累)max 2008.48 刺刀（★） | 黑色层压板 (战痕累累)buff 1339.5 668.980
刺刀（★） | 黑色层压板 (略有磨损)max 2090.10 刺刀（★） | 黑色层压板 (略有磨损)buff 1440 650.100
刺刀（★） | 黑色层压板 (破损不堪)max 1815.48 刺刀（★） | 黑色层压板 (破损不堪)buff 1301 514.480
弯刀（★ StatTrak™）max 821.78 弯刀（★ StatTrak™）buff 673 148.780
弯刀（★ StatTrak™） | 人工染色 (略有磨损)igxe 888.00 弯刀（★ StatTrak™） | 人工染色 (略有磨损)buff 565 323.000
弯刀（★ StatTrak™） | 传说 (略有磨损)max 1999.05 弯刀（★ StatTrak™） | 传说 (略有磨损)buff 1058.9 940.150
弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)max 2040.66 弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)buff 1362 678.660
弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)igxe 998.00 弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)max 1353.08 -355.080
弯刀（★ StatTrak™） | 枯焦之色 (战痕累累)max 754.28 弯刀（★ StatTrak™） | 枯焦之色 (战痕累累)buff 440 314.280
弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)max 821.84 弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)igxe 445.00 376.840
弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)max 1854.08 弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)buff 1260 594.080
弯刀（★ StatTrak™） | 澄澈之水 (略有磨损)max 950.22 弯刀（★ StatTrak™） | 澄澈之水 (略有磨损)buff 642 308.220
弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)max 982.45 弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)buff 529.98 452.470
弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)max 622.75 弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)buff 400 222.750
弯刀（★ StatTrak™） | 自动化 (久经沙场)igxe 900.00 弯刀（★ StatTrak™） | 自动化 (久经沙场)max 1110.51 -210.510
弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)max 735.88 弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)buff 532 203.880
