317,折刀（★） | 枯焦之色 (战痕累累)
334.47,折刀（★） | 枯焦之色 (略有磨损)
346.47,折刀（★） | 枯焦之色 (破损不堪)
309.5,折刀（★） | 森林 DDPAT (久经沙场)
537,折刀（★） | 深红之网 (略有磨损)
693,折刀（★） | 渐变之色 (崭新出厂)
583,折刀（★） | 渐变大理石 (崭新出厂)
310.9,折刀（★） | 狩猎网格 (久经沙场)
345.5,折刀（★） | 致命紫罗兰 (久经沙场)
330,折刀（★） | 致命紫罗兰 (战痕累累)
400.46,折刀（★） | 致命紫罗兰 (略有磨损)
358.99,折刀（★） | 蓝钢 (略有磨损)
333,折刀（★） | 蓝钢 (破损不堪)
508,折刀（★） | 虎牙 (崭新出厂)
454.99,折刀（★） | 表面淬火 (久经沙场)
760,折刀（★） | 表面淬火 (崭新出厂)
412.98,折刀（★） | 表面淬火 (战痕累累)
498.5,折刀（★） | 表面淬火 (略有磨损)
420,折刀（★） | 表面淬火 (破损不堪)
924.5,折叠刀（★ StatTrak™）
1325,折叠刀（★ StatTrak™） | 传说 (久经沙场)
2461.5,折叠刀（★ StatTrak™） | 传说 (崭新出厂)
1729.5,折叠刀（★ StatTrak™） | 传说 (略有磨损)
2000,折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
1515,折叠刀（★ StatTrak™） | 多普勒 (崭新出厂)
744.5,折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场)
1520,折叠刀（★ StatTrak™） | 屠夫 (略有磨损)
547,折叠刀（★ StatTrak™） | 枯焦之色 (久经沙场)
594.99,折叠刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
2647,折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂)
798,折叠刀（★ StatTrak™） | 澄澈之水 (久经沙场)
959,折叠刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
849,折叠刀（★ StatTrak™） | 澄澈之水 (略有磨损)
1140,折叠刀（★ StatTrak™） | 自动化 (久经沙场)
1409,折叠刀（★ StatTrak™） | 自动化 (略有磨损)
1040,折叠刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)
834,折叠刀（★ StatTrak™） | 蓝钢 (略有磨损)
1479,折叠刀（★ StatTrak™） | 虎牙 (崭新出厂)
959.99,折叠刀（★ StatTrak™） | 表面淬火 (久经沙场)
799.5,折叠刀（★ StatTrak™） | 黑色层压板 (战痕累累)
888,折叠刀（★ StatTrak™） | 黑色层压板 (略有磨损)
777.77,折叠刀（★ StatTrak™） | 黑色层压板 (破损不堪)
916,折叠刀（★）
628,折叠刀（★） | 人工染色 (久经沙场)
668,折叠刀（★） | 人工染色 (略有磨损)
1328.5,折叠刀（★） | 传说 (久经沙场)
2299.5,折叠刀（★） | 传说 (崭新出厂)
1200,折叠刀（★） | 传说 (破损不堪)
1855,折叠刀（★） | 伽玛多普勒 (崭新出厂)
540,折叠刀（★） | 北方森林 (久经沙场)
525,折叠刀（★） | 北方森林 (战痕累累)
598.9,折叠刀（★） | 北方森林 (略有磨损)
673,折叠刀（★） | 噩梦之夜 (久经沙场)
639,折叠刀（★） | 外表生锈 (破损不堪)
1430,折叠刀（★） | 多普勒 (崭新出厂)
699.5,折叠刀（★） | 大马士革钢 (久经沙场)
819.9,折叠刀（★） | 大马士革钢 (略有磨损)
669,折叠刀（★） | 大马士革钢 (破损不堪)
1550,折叠刀（★） | 屠夫 (崭新出厂)
1400,折叠刀（★） | 屠夫 (略有磨损)
534,折叠刀（★） | 枯焦之色 (久经沙场)
520,折叠刀（★） | 枯焦之色 (战痕累累)
587.49,折叠刀（★） | 枯焦之色 (略有磨损)
1197,折叠刀（★） | 深红之网 (久经沙场)
810,折叠刀（★） | 深红之网 (战痕累累)
2245,折叠刀（★） | 深红之网 (略有磨损)
2599.5,折叠刀（★） | 渐变之色 (崭新出厂)
1897.5,折叠刀（★） | 渐变大理石 (崭新出厂)
1949.5,折叠刀（★） | 渐变大理石 (略有磨损)
755,折叠刀（★） | 澄澈之水 (久经沙场)
885.5,折叠刀（★） | 澄澈之水 (崭新出厂)
709,折叠刀（★） | 澄澈之水 (破损不堪)
525,折叠刀（★） | 狩猎网格 (久经沙场)
519.5,折叠刀（★） | 狩猎网格 (战痕累累)
559.9,折叠刀（★） | 狩猎网格 (略有磨损)
1089,折叠刀（★） | 自动化 (久经沙场)
1911,折叠刀（★） | 自动化 (崭新出厂)
890,折叠刀（★） | 自动化 (战痕累累)
770,折叠刀（★） | 自由之手 (久经沙场)
889.5,折叠刀（★） | 自由之手 (崭新出厂)
839.99,折叠刀（★） | 自由之手 (略有磨损)
704.8,折叠刀（★） | 致命紫罗兰 (久经沙场)
980,折叠刀（★） | 致命紫罗兰 (略有磨损)
663.5,折叠刀（★） | 致命紫罗兰 (破损不堪)
670,折叠刀（★） | 蓝钢 (战痕累累)
660,折叠刀（★） | 蓝钢 (破损不堪)
1426,折叠刀（★） | 虎牙 (崭新出厂)
894.5,折叠刀（★） | 表面淬火 (久经沙场)
1558,折叠刀（★） | 表面淬火 (崭新出厂)
999,折叠刀（★） | 表面淬火 (略有磨损)
784.5,折叠刀（★） | 表面淬火 (破损不堪)
532,折叠刀（★） | 都市伪装 (战痕累累)
773,折叠刀（★） | 黑色层压板 (久经沙场)
1019.88,折叠刀（★） | 黑色层压板 (崭新出厂)
763.5,折叠刀（★） | 黑色层压板 (战痕累累)
805,折叠刀（★） | 黑色层压板 (略有磨损)
739.5,折叠刀（★） | 黑色层压板 (破损不堪)
750,暗影双匕（★ StatTrak™）
613,暗影双匕（★ StatTrak™） | 传说 (战痕累累)
900,暗影双匕（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
377.99,暗影双匕（★ StatTrak™） | 外表生锈 (战痕累累)
448,暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场)
700,暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂)
1199,暗影双匕（★ StatTrak™） | 渐变之色 (崭新出厂)
830,暗影双匕（★ StatTrak™） | 渐变大理石 (崭新出厂)
410,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场)
450,暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场)
434.98,暗影双匕（★ StatTrak™） | 黑色层压板 (久经沙场)
499.9,暗影双匕（★ StatTrak™） | 黑色层压板 (略有磨损)
546.5,暗影双匕（★）
374.99,暗影双匕（★） | 人工染色 (久经沙场)
639.99,暗影双匕（★） | 人工染色 (崭新出厂)
408.99,暗影双匕（★） | 人工染色 (略有磨损)
359.9,暗影双匕（★） | 人工染色 (破损不堪)
613.49,暗影双匕（★） | 传说 (久经沙场)
697.5,暗影双匕（★） | 传说 (略有磨损)
763,暗影双匕（★） | 伽玛多普勒 (崭新出厂)
918.5,暗影双匕（★） | 伽玛多普勒 (略有磨损)
373.49,暗影双匕（★） | 噩梦之夜 (久经沙场)
400,暗影双匕（★） | 噩梦之夜 (略有磨损)
329,暗影双匕（★） | 外表生锈 (战痕累累)
365,暗影双匕（★） | 外表生锈 (破损不堪)
740.5,暗影双匕（★） | 多普勒 (崭新出厂)
380,暗影双匕（★） | 大马士革钢 (久经沙场)
467.5,暗影双匕（★） | 大马士革钢 (崭新出厂)
408.88,暗影双匕（★） | 大马士革钢 (略有磨损)
636.99,暗影双匕（★） | 屠夫 (崭新出厂)
584,暗影双匕（★） | 屠夫 (略有磨损)
378.2,暗影双匕（★） | 枯焦之色 (战痕累累)
344.5,暗影双匕（★） | 森林 DDPAT (久经沙场)
505,暗影双匕（★） | 深红之网 (久经沙场)
689.5,暗影双匕（★） | 深红之网 (略有磨损)
938.5,暗影双匕（★） | 渐变之色 (崭新出厂)
655.5,暗影双匕（★） | 渐变大理石 (崭新出厂)
669.98,暗影双匕（★） | 渐变大理石 (略有磨损)
374,暗影双匕（★） | 澄澈之水 (久经沙场)
419,暗影双匕（★） | 澄澈之水 (崭新出厂)
394.88,暗影双匕（★） | 澄澈之水 (略有磨损)
360.99,暗影双匕（★） | 狩猎网格 (略有磨损)
420,暗影双匕（★） | 自动化 (久经沙场)
498.5,暗影双匕（★） | 自动化 (略有磨损)
428.5,暗影双匕（★） | 自由之手 (久经沙场)
512,暗影双匕（★） | 自由之手 (崭新出厂)
386.9,暗影双匕（★） | 致命紫罗兰 (久经沙场)
443,暗影双匕（★） | 致命紫罗兰 (略有磨损)
569,暗影双匕（★） | 虎牙 (崭新出厂)
514.99,暗影双匕（★） | 表面淬火 (久经沙场)
445,暗影双匕（★） | 表面淬火 (战痕累累)
555.05,暗影双匕（★） | 表面淬火 (略有磨损)
339.99,暗影双匕（★） | 都市伪装 (战痕累累)
382.3,暗影双匕（★） | 黑色层压板 (久经沙场)
399.98,暗影双匕（★） | 黑色层压板 (略有磨损)
634.9,求生匕首（★ StatTrak™） | 人工染色 (久经沙场)
680,求生匕首（★ StatTrak™） | 人工染色 (破损不堪)
473.48,求生匕首（★ StatTrak™） | 北方森林 (久经沙场)
460,求生匕首（★ StatTrak™） | 森林 DDPAT (久经沙场)
2055,求生匕首（★ StatTrak™） | 渐变之色 (崭新出厂)
434.4,求生匕首（★ StatTrak™） | 狩猎网格 (久经沙场)
